algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	1.82	5.82	0.76	38	0.54	NA	NA	12	"1"
"acs"	"3"	1.64	4.12	0.73	33	0.41	NA	NA	15	"1"
"acs"	"3"	1.98	6.3	0.74	47	0.42	NA	NA	11	"1"
"acs"	"3"	2.05	2.3	0.76	55	0.51	NA	NA	18	"1"
"acs"	"3"	2.15	5.49	0.31	48	0.48	NA	NA	21	"1"
"acs"	"3"	1.36	3.43	0.79	35	0.44	NA	NA	9	"1"
"acs"	"3"	2.09	1.76	0.89	57	0.57	NA	NA	17	"1"
"acs"	"3"	2.22	5.37	0.33	45	0.53	NA	NA	25	"1"
"acs"	"3"	1.89	6.65	0.74	46	0.36	NA	NA	10	"1"
"acs"	"3"	2	1.63	0.81	54	0.46	NA	NA	16	"1"
"acs"	"3"	2.11	1.91	0.94	54	0.68	NA	NA	16	"1"
"acs"	"3"	2.34	2.02	0.91	54	0.44	NA	NA	13	"1"
"acs"	"3"	4.7	7.15	0.43	43	0.3	NA	NA	17	"1"
"acs"	"3"	3.52	2.93	0.88	87	0.94	NA	NA	8	"0"
"acs"	"2"	3.99	8.86	0.6	18	0.47	NA	NA	15	"0"
"acs"	"3"	4.05	8.05	0.39	28	0.44	NA	NA	36	"0"
"mmas"	"3"	3	2.44	0.42	68	NA	NA	NA	34	"0"
"acs"	"3"	2.76	5.84	0.97	31	0.3	NA	NA	14	"1"
"acs"	"3"	3.21	2	0.79	76	0.97	NA	NA	7	"0"
"acs"	"3"	2.88	1.78	0.61	57	0.64	NA	NA	14	"0"
"acs"	"3"	3.9	4.52	0.9	61	0.76	NA	NA	13	"0"
"acs"	"3"	3.55	4.07	0.94	70	0.58	NA	NA	18	"0"
"acs"	"3"	2.19	5.43	0.76	33	0.28	NA	NA	18	"1"
"acs"	"3"	2.18	5.69	0.87	48	0.48	NA	NA	11	"1"
"acs"	"3"	1.31	3.78	0.89	12	0.29	NA	NA	11	"1"
"acs"	"3"	3.49	3.51	0.65	24	0.27	NA	NA	15	"1"
"acs"	"3"	1.88	5.54	0.86	51	0.41	NA	NA	13	"1"
"acs"	"3"	1.73	5.25	0.93	42	0.43	NA	NA	13	"1"
"acs"	"3"	1.92	6.46	0.83	46	0.33	NA	NA	21	"1"
"acs"	"3"	1.12	5.04	0.79	25	0.33	NA	NA	12	"1"
"acs"	"3"	1.79	5.57	0.72	46	0.29	NA	NA	12	"1"
"acs"	"3"	2.1	5.76	0.88	58	0.45	NA	NA	10	"1"
"acs"	"3"	2.01	6.63	0.83	43	0.42	NA	NA	16	"1"
"acs"	"3"	1.58	5.94	0.92	43	0.49	NA	NA	10	"1"
"acs"	"3"	1.53	4.49	0.74	35	0.26	NA	NA	13	"1"
"acs"	"3"	1.61	5.44	0.81	47	0.43	NA	NA	11	"1"
"acs"	"3"	1.47	4.38	0.7	33	0.24	NA	NA	12	"1"
"acs"	"3"	4.46	4.94	0.41	40	0.08	NA	NA	11	"0"
"eas"	"3"	2.74	0.25	0.07	13	NA	NA	485	15	"1"
"mmas"	"3"	3.91	9.78	0.65	69	NA	NA	NA	23	"0"
"eas"	"3"	2.04	4.59	0.16	30	NA	NA	305	21	"1"
"acs"	"3"	3.79	2.89	0.49	20	0.92	NA	NA	15	"1"
"acs"	"3"	4.51	3.69	0.49	40	0.14	NA	NA	18	"1"
"mmas"	"3"	2.41	8.72	0.6	76	NA	NA	NA	16	"0"
"mmas"	"3"	1.03	6.17	0.83	69	NA	NA	NA	31	"1"
"acs"	"3"	4.02	5.94	0.94	10	0.76	NA	NA	12	"1"
"acs"	"3"	4.78	6.35	0.75	67	0.05	NA	NA	25	"0"
"acs"	"3"	3.68	2.43	0.36	11	0.19	NA	NA	14	"0"
"acs"	"3"	3.82	4.18	0.33	35	0.71	NA	NA	8	"1"
"acs"	"3"	3.21	4.46	0.95	11	0.24	NA	NA	15	"1"
"acs"	"3"	3.76	8.32	0.75	7	0.6	NA	NA	14	"1"
"acs"	"3"	3.58	8.03	0.88	10	0.72	NA	NA	12	"1"
"acs"	"3"	3.99	4.36	0.97	11	0.14	NA	NA	15	"1"
"acs"	"3"	2.84	4.18	0.94	11	0.11	NA	NA	10	"1"
"acs"	"3"	3.27	7.57	0.82	5	0.56	NA	NA	22	"1"
"acs"	"3"	3.42	5.58	0.96	6	0.33	NA	NA	13	"1"
"acs"	"3"	4.4	3.4	0.98	13	0.09	NA	NA	14	"1"
"acs"	"3"	2.9	2.77	0.94	12	0.12	NA	NA	15	"1"
"acs"	"3"	3.53	5.36	0.96	10	0.3	NA	NA	13	"1"
"acs"	"3"	2.97	3.85	0.97	15	0.09	NA	NA	15	"1"
"acs"	"2"	2	4.19	0.96	70	0.97	NA	NA	46	"0"
"ras"	"3"	3.87	5.44	0.59	58	NA	34	NA	17	"1"
"acs"	"2"	4.65	7	0.19	7	0.06	NA	NA	33	"1"
"acs"	"3"	3.15	2.26	0.75	82	0.96	NA	NA	21	"1"
"acs"	"3"	2.95	0.9	0.97	56	0.67	NA	NA	17	"1"
"acs"	"3"	2.89	2.66	0.91	75	0.73	NA	NA	18	"1"
"acs"	"3"	4.47	5.2	0.77	78	0.61	NA	NA	29	"1"
"acs"	"3"	3.52	3.29	0.77	72	0.93	NA	NA	29	"1"
"acs"	"3"	2.19	3.33	0.84	65	0.69	NA	NA	14	"1"
"acs"	"3"	2.69	2.74	1	64	0.57	NA	NA	20	"1"
"acs"	"3"	3.39	6.01	0.96	72	0.88	NA	NA	24	"1"
"acs"	"3"	2.15	0.55	0.76	60	0.82	NA	NA	24	"1"
"acs"	"3"	2.37	4.44	0.95	56	0.29	NA	NA	14	"1"
"acs"	"3"	3.24	2.43	0.9	67	0.52	NA	NA	19	"1"
"acs"	"3"	3.66	5.89	0.99	72	0.75	NA	NA	14	"1"
"acs"	"3"	2.95	3.89	0.85	65	0.51	NA	NA	16	"1"
"acs"	"3"	2.99	1.86	0.94	64	0.57	NA	NA	17	"1"
"acs"	"3"	3.56	3.05	0.91	74	0.45	NA	NA	14	"1"
"acs"	"3"	3.89	2.09	0.9	70	0.5	NA	NA	9	"1"
"acs"	"3"	3.17	4.99	0.95	70	0.41	NA	NA	15	"1"
"acs"	"3"	2.49	3.6	0.81	61	0.38	NA	NA	13	"1"
"acs"	"3"	3.32	3.87	0.81	71	0.55	NA	NA	14	"1"
"acs"	"3"	2.92	2.27	0.92	68	0.6	NA	NA	16	"1"
"mmas"	"3"	3.5	0.85	0.18	35	NA	NA	NA	22	"0"
"acs"	"3"	2.71	9.91	0.65	44	0.99	NA	NA	30	"1"
"acs"	"2"	2.4	5.54	0.21	26	0.56	NA	NA	44	"0"
"acs"	"3"	3.72	5.59	0.35	61	0.42	NA	NA	20	"0"
"acs"	"3"	3.72	6.59	0.15	40	0.94	NA	NA	13	"0"
"mmas"	"3"	1.11	8.13	0.62	23	NA	NA	NA	7	"1"
"acs"	"3"	2.15	6.45	0.3	43	0.67	NA	NA	36	"1"
"acs"	"3"	2.91	6.1	0.26	57	0.92	NA	NA	36	"1"
"acs"	"3"	4.08	3.79	0.21	60	0.55	NA	NA	5	"0"
"acs"	"3"	2.85	8.13	0.63	32	0.68	NA	NA	23	"1"
"acs"	"3"	2.49	4.23	0.09	44	0.83	NA	NA	27	"1"
"acs"	"3"	2.15	5.04	0.24	36	0.9	NA	NA	25	"1"
"acs"	"3"	2.87	8.96	0.72	39	0.43	NA	NA	21	"1"
"acs"	"3"	2.63	5.12	0.49	53	0.47	NA	NA	6	"0"
"acs"	"3"	2.9	2.78	0.03	44	0.98	NA	NA	31	"1"
"acs"	"3"	3.98	3.88	0.24	55	0.55	NA	NA	7	"0"
"acs"	"3"	2.6	3.27	0.12	45	0.92	NA	NA	26	"1"
"acs"	"3"	2.98	9.04	0.79	50	0.52	NA	NA	13	"1"
"acs"	"3"	2.38	9.45	0.81	42	0.45	NA	NA	19	"1"
"acs"	"3"	3.85	3.38	0.23	56	0.52	NA	NA	8	"0"
"acs"	"3"	3.34	9.86	0.71	52	0.46	NA	NA	15	"1"
"acs"	"3"	2.89	9.99	0.94	57	0.48	NA	NA	13	"1"
"acs"	"3"	3.17	9.28	0.73	57	0.49	NA	NA	10	"1"
"acs"	"3"	3.3	9.79	0.77	59	0.53	NA	NA	15	"1"
"acs"	"3"	2.46	8.95	0.65	44	0.36	NA	NA	21	"1"
"acs"	"2"	3.89	1.06	0.92	64	0.11	NA	NA	20	"0"
"acs"	"2"	1.55	7.63	0.21	25	0.89	NA	NA	13	"1"
"acs"	"1"	4.36	5.75	0.52	7	0.21	NA	NA	33	"1"
"ras"	"3"	3.74	7	0.64	43	NA	55	NA	27	"0"
"acs"	"3"	4.31	1.21	0.78	69	0.15	NA	NA	6	"1"
"acs"	"3"	2.56	1.1	0.67	35	0.67	NA	NA	34	"1"
"acs"	"3"	3.18	1.53	0.44	59	0.39	NA	NA	12	"1"
"acs"	"3"	4.74	1.06	0.48	68	0.03	NA	NA	11	"1"
"acs"	"3"	2.46	4.33	0.37	54	0.76	NA	NA	30	"1"
"acs"	"3"	1.9	1.39	1	52	0.49	NA	NA	24	"1"
"acs"	"3"	4.73	5.36	0.63	70	0.14	NA	NA	13	"1"
"acs"	"3"	3.74	1.81	0.32	56	0.37	NA	NA	13	"1"
"acs"	"3"	3.94	8.13	0.61	63	0.09	NA	NA	11	"1"
"acs"	"3"	2.74	0.52	0.44	49	0.52	NA	NA	14	"1"
"acs"	"3"	2.01	0.99	0.95	47	0.51	NA	NA	17	"1"
"acs"	"3"	3.89	8.77	0.69	65	0.02	NA	NA	11	"1"
"acs"	"3"	3.31	1.78	0.36	55	0.42	NA	NA	12	"1"
"acs"	"3"	4.09	8.6	0.53	59	0.08	NA	NA	12	"1"
"acs"	"3"	3.71	9.33	0.53	56	0.08	NA	NA	16	"1"
"acs"	"3"	4.71	9.12	0.58	61	0.06	NA	NA	12	"1"
"acs"	"3"	3.68	1.41	0.29	54	0.25	NA	NA	14	"1"
"acs"	"3"	3.38	8.36	0.73	63	0.13	NA	NA	9	"1"
"acs"	"3"	4.02	2.02	0.31	57	0.24	NA	NA	17	"1"
