particles	topology	modInfluence	branching	tSchedule	phi1	phi2	inertia
30	"4"	"0"	NA	NA	2.07	0.83	0.27
34	"4"	"0"	NA	NA	2.31	2.4	0.33
38	"4"	"0"	NA	NA	1.72	2.19	0.22
40	"4"	"2"	NA	NA	1.16	1.99	0.7
42	"4"	"0"	NA	NA	1.65	1.59	0.2
11	"1"	"0"	NA	NA	1.43	1.97	0.24
57	"4"	"0"	NA	NA	2.21	2.35	0.35
27	"4"	"0"	NA	NA	2.46	2.2	0.42
11	"4"	"0"	NA	NA	1.86	2.49	0.42
24	"4"	"0"	NA	NA	1.77	2.24	0.33
17	"4"	"0"	NA	NA	2.39	2.19	0.39
59	"4"	"0"	NA	NA	2.1	2.46	0.48
21	"4"	"0"	NA	NA	2.3	2.28	0.31
105	"5"	"2"	NA	3	1.96	2.32	0.62
18	"5"	"2"	NA	2	1.18	1.85	0.34
5	"2"	"1"	NA	NA	0.71	1.07	0.17
86	"4"	"0"	NA	NA	1.57	0.84	0.31
142	"4"	"0"	NA	NA	1.49	1.54	0.23
134	"4"	"0"	NA	NA	2.16	2.22	0.32
50	"4"	"0"	NA	NA	1.77	1.35	0.41
46	"5"	"0"	NA	6	2.34	1.18	0.4
14	"5"	"1"	NA	6	1.96	0.9	0.59
129	"4"	"0"	NA	NA	2.42	2.22	0.35
119	"1"	"0"	NA	NA	2.11	2.41	0.33
95	"0"	"0"	NA	NA	2.26	1.5	0.55
120	"4"	"0"	NA	NA	2.42	2.28	0.41
121	"4"	"0"	NA	NA	2.32	2.34	0.5
120	"4"	"0"	NA	NA	2.29	1.98	0.31
117	"4"	"0"	NA	NA	2.18	2.16	0.29
112	"4"	"0"	NA	NA	2.17	2.25	0.37
126	"4"	"0"	NA	NA	2.11	2.29	0.49
107	"4"	"0"	NA	NA	2.02	2.32	0.19
113	"4"	"0"	NA	NA	2.17	2.37	0.39
133	"1"	"0"	NA	NA	1.94	1.29	0.17
15	"2"	"1"	NA	NA	2.18	0.43	0.76
90	"0"	"0"	NA	NA	2.49	0.75	0.2
161	"4"	"2"	NA	NA	1.9	1.1	0.83
59	"5"	"0"	NA	7	1.01	0.98	0.28
175	"1"	"0"	NA	NA	1.37	2.43	0.46
107	"0"	"0"	NA	NA	2.32	0.53	0.71
